face_image,mri_image,class
data/custom_dataset/crop_faces/train\002_006,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\id4_id2_0004,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\067_025,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\142_138,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\775,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\195_442,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\id8_0005,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\585_599,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\id0_0007,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\id8_id3_0002,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\id11_0007,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\599,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\925_933,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\603,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\227_169,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\id7_0006,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\937,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\684,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\id9_id17_0006,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\295,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\442,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\id9_id17_0003,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\480,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\787_782,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\313,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\id6_id4_0009,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\694,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\960,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\id1_id16_0003,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\013_883,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\517,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\204_230,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\521,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\622,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\id4_id6_0002,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\id9_id3_0006,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\id6_id2_0000,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\id17_id2_0001,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\id3_id2_0004,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\id1_id9_0003,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
data/custom_dataset/crop_faces/train\354_362,C:\Users\utkar\OneDrive\Desktop\MiniProject\assets\blank.png,real
